ucid,BVALL,BVNR,pop100m,buildup100,Worldpop,gdp_new2
1,362024337,54536030,521438.5808,33.124709,512183.5436,25655477560
2,45772403,3570580,89957.60042,5.159227,38450.96217,0
3,98465276,14215930,130009.5998,13.805093,118442.0714,5871669761
4,73326970,10950971,72476.75261,8.044436,68205.31556,2897989477
5,113599198,18494133,122142.6398,13.177005,117729.296,5471586146
6,94913018,15478261,108288.0543,10.708294,109433.4577,5669551193
7,104972004,26935954,158944.7953,13.535781,147964.6136,6699117588
8,254457108,58064714,303499.895,32.156055,296572.2718,14226500347
9,37325696,8817195,58887.92066,4.66301,52019.80013,2448580415
10,3900622500,878540821,4672910.052,415.599814,4635018.559,2.44276E+11
11,82353918,10555783,66662.7,9.955677,63691.65903,2385193502
12,182399749,27725852,148552.1067,21.518074,146518.231,6758300565
13,103945621,15853695,107207.1831,11.357996,104975.6165,11591727281
14,14266297797,3293186782,14447798.2,1525.667225,14388356.77,7.66014E+11
15,58483533,10964260,57528.36762,7.699341,54651.15252,2853564931
16,101301129,12045677,110171.9266,13.672186,106729.2817,4593186428
17,152585781,23664877,168967.6529,19.173099,168581.4331,8481790164
18,724964829,133486657,673586.5723,86.03398,647272.4926,32740532709
19,38459885,3628654,76163.40147,5.113698,79993.64211,886842128.3
20,188946417,5997332,302985.5174,20.803571,308730.0807,4013455725
21,3709813228,532890067,4389846.967,375.05602,4365547.208,1.78352E+11
22,95445813,27081212,75628.55232,12.447843,71954.12538,3125201180
23,9065784,333276,55297.86561,1.191712,49091.32753,470447827.3
24,204571771,33509450,194432.0912,22.317521,192232.45,8485555454
25,65608359,6463505,77048.8448,8.42834,77447.49605,3835257618
26,224420506,31613787,272297.7275,30.740161,268411.5301,13911478615
27,76352105,7776866,99390.78938,10.275454,97321.45074,5355542874
28,90773806,19792008,93255.25225,10.857607,92040.70078,4533431769
29,672625362,131772866,546287.0635,83.36028,537914.2763,27038024991
30,64956353,7018248,81458.90769,8.906567,75459.81312,3183028285
31,31203622,2053548,65667.59457,3.750138,68057.33887,780002029.3
32,207670127,21367290,273988.8357,31.089269,272662.0932,13121320972
33,62518473,8760659,63412.00448,7.914983,59623.47715,2665250794
34,382018176,104581468,368248.4991,45.71139,369201.1656,18314521862
35,362592286,65106578,303139.0034,40.119904,287973.0693,15580013737
36,73065028,12132847,69658.19877,8.743645,64042.96811,2962157282
37,242472679,29883648,228639.6775,27.687076,233589.2609,11160777287
38,52899085,4918390,53966.85355,7.268056,55577.98044,2709234747
39,71685439,12925421,82339.82276,9.469364,77450.08032,3698537657
40,47795892,9695397,74816.83536,6.140559,70734.42614,3640523999
41,33775793,5909067,61474.73812,4.841063,56616.27484,1867752497
42,60315243,10481827,69705.86805,7.696317,66939.99602,3263933538
43,55716578,1209753,166288.985,7.383599,179439.5893,2251042877
44,45743412,3792807,66418.43221,6.363478,65013.16197,3298063795
45,136164935,20210574,196708.1711,17.038667,196580.7585,9537805244
46,777709145,148659747,666539.6339,96.30376,665510.5146,35518977779
47,57411801,17885900,52855.50832,6.696805,50640.78013,2683677744
48,143803135,17111896,113214.1319,20.07812,124922.0217,5890050206
49,1516479394,237234042,1557330.463,192.342934,1529575.122,79538947624
50,123100797,7191849,153856.7252,18.372344,161822.2359,8182380557
51,49377698,4590858,58364.72398,7.169587,55316.84824,2630631678
52,140421602,1014966,246141.2364,17.060087,243572.7811,3246330260
53,52056391,914647,96084.227,5.817486,107317.4597,1277184024
54,59321619,3321561,64630.70231,8.331451,64541.83566,2663567817
55,52851776,6719689,59763.65379,7.500002,61389.67687,2703472409
56,480689222,35100817,351635.9877,66.411958,348541.5199,17486296067
57,309589123,20802568,764704.9349,45.618788,779955.739,12154773252
58,87701789,9654655,89376.41466,11.759201,88760.60744,4407742932
59,90206176,1805520,185724.9214,14.113407,185078.6424,2591835965
60,76553499,9186819,70323.90982,10.265049,78170.65559,2782538930
61,17268084,95641,59335.06831,3.119,68434.8562,972618225.7
62,48715234,1238651,114241.8183,6.309462,114366.5593,933941246.3
63,109404671,4082846,256496.4611,13.826194,253125.1327,2975121247
64,37634598,870360,54720.03788,5.062414,45031.72641,946847323.4
65,350052142,17550583,738462.9821,43.148243,762815.4069,11847725538
66,137232157,2335378,315923.0819,17.815443,312986.6979,4359494811
67,292330058,87303275,239996.3898,32.227234,234767.7381,10411918598
68,53759369,1019775,103692.9833,7.407276,101860.7938,1636625976
69,122391317,22284168,92098.39282,16.403539,90148.79167,3476595302
70,37016155,34576,76429.77812,4.91228,74397.50124,948640507.4
71,33996807,66200,59192.60532,4.24237,55189.91284,589775609.5
72,150235476,8734557,44197.32314,15.765026,48706.47567,1724338374
73,294771009,3343973,679413.5963,34.914672,673768.9559,7715951518
74,2102296393,399809469,2062099.013,243.91341,2034341.295,92326608073
75,158013535,7474274,403322.5138,19.275268,409623.3721,5059016921
76,92888232,2088176,213166.3448,10.143962,232641.8121,2277324078
77,71062631,11296565,148034.1294,8.148189,141739.328,2063827157
78,184126787,17954639,234653.7848,12.93131,236284.3516,3880281010
79,4730657477,783818955,3682199.374,588.875498,3625603.317,1.54286E+11
80,28869458,242573,93721.97987,4.144133,85854.39191,1141340262
81,145194786,5207813,368410.9246,17.198293,361583.3934,3028765779
82,275605998,57313332,221989.29,32.865932,221398.127,8960277250
83,112993532,3393744,274109.1346,14.599217,280739.6194,3737564653
84,841074114,124923693,603214.3133,103.13284,581317.7821,25276263435
85,31269724,1000769,52510.77471,4.826122,53741.87464,1418297994
86,33207632,102506,94913.10477,4.609435,92087.6775,813300763.1
87,64522602,2458795,93191.24705,9.200582,97279.46437,6044007691
88,1694834489,93144113,4162509.34,186.269959,4394522.716,62465165833
89,15468166,1323097,46865.85032,2.124798,64702.47527,487943570.9
90,217920802,39575756,203920.5807,25.472383,205101.7081,8668861953
91,23621745,455486,59614.02414,3.275529,62789.91609,511916243.1
92,34618700,1539095,102224.5122,4.321086,95035.26758,835682045.9
93,217266926,9514798,536468.6141,27.707516,555327.5125,6300068664
94,52079317,355184,99893.41076,6.30767,98880.62933,847363904
95,28089242,452254,69258.57364,3.653321,62509.94553,590682984.5
96,35066321,730057,88408.34707,4.658161,84690.50739,1099229478
97,70476549,103303,104597.6158,8.39407,111478.1743,1081664777
98,65349080,7586703,52980.41275,9.000636,63995.74753,2009465649
99,28324463,34927,70820.32797,2.512063,73236.37513,290093455.7
100,28658152,406821,72210.67504,3.321155,72798.11837,893357491.5
101,1943259033,338245619,1688904.926,201.045984,1661821.198,78119626022
102,19225416,208996,57294.24854,2.720291,54094.07266,375028461.4
103,34475238,964575,46905.97862,4.95515,44220.79012,630370269.7
104,53184346,118656,104718.1379,6.021202,103025.8884,948706108.1
105,37622735,1121466,128022.788,5.226708,129269.8818,1219604862
106,116022064,2895603,296153.0536,13.66782,295407.7801,2437001077
107,18401620,0,54027.43257,2.34351,53668.677,493895171.5
108,39622020,372386,91889.08834,5.132923,93435.01849,701699027.2
109,23954381,100129,54844.90972,2.233074,54783.3634,498394491.3
110,22397937,433748,61910.37314,2.734458,61490.94269,421777815
111,525234026,44156734,764221.2236,50.361077,769881.1944,11209075073
112,322463484,16739468,826901.18,39.26711,839477.4093,12530791340
113,59905395,950008,128606.4975,8.141467,126488.5868,1020062175
114,55149030,2255568,121167.9059,7.343858,126996.3397,1050930532
115,121941460,1874980,262585.2814,12.819838,263062.4393,2200004974
116,280790716,7839669,635456.3856,33.392771,655234.0192,5662464517
117,62448507,2836786,120423.8354,8.176359,117067.1201,1149138302
118,39110650,748540,98994.19568,5.132639,95703.25177,995829535.6
119,484250625,26396655,1369296.355,57.999803,1463821.637,16974510328
120,42179763,1214288,96915.31919,5.393008,92201.17468,1152146761
121,134880434,5528810,425318.4068,16.078257,443312.4312,4663872664
122,404588692,4519879,707205.264,29.534342,715729.3532,4761540285
123,25029219,533740,84101.77111,3.429875,84295.81665,589780268.6
124,26894310,335777,72501.59578,3.588342,72697.05582,494869250.9
125,77570677,9991869,169216.1236,9.079346,175926.6361,1706224582
126,513746317,40260446,1093523.07,61.194807,992953.7106,20579327565
127,66449809,974477,124271.1188,5.432972,121622.0134,1216095296
128,20573647,936668,62959.59597,2.859194,60948.75906,541999487.5
129,22876051,125881,54795.45317,2.967338,53590.3768,585834182.6
130,17934326,84296,49271.46656,2.736818,48983.5274,648964202.3
131,26766571,31214,61931.79853,3.500302,60348.95813,446572739.2
132,145226492,10697684,363919.8644,18.355595,379131.1344,4063494733
133,105111970,16106584,99081.34167,12.502728,101958.9834,5033637092
134,34449593,107812,90924.23839,3.934744,91048.92407,752681986.3
135,26078380,364868,68358.82276,3.701497,67097.85602,690883023.5
136,94200300,330238,200262.6098,8.132535,198885.6304,1431105909
137,36438099,439375,74802.89681,4.216714,72597.08154,755082525.8
138,17044955,235818,48571.43741,2.764665,44814.96597,554152547
139,449359099,34559355,854578.4823,50.026519,898426.5977,13759805348
140,2965995058,585950517,2736135.641,310.294353,2713036.904,1.40958E+11
141,44439607,777522,109057.4146,5.745405,112566.6637,759548124.2
142,14177690,78016,52840.53347,1.032126,50190.09332,196241751.9
143,1570782741,238674089,1740695.518,149.201758,1712506.239,38888921912
144,433200280,39838254,1011586.763,51.969808,1041325.674,13772121736
145,166979942,14502400,97367.42477,14.346844,98409.98661,4557739530
146,731338888,94685370,1392637.788,89.478333,1383301.472,15204700016
147,87318698,17118360,59092.18243,10.761456,60387.05166,2379407797
148,25485749,456627,63223.15416,3.447149,61226.00632,539690289.8
149,97834538,7824641,94647.12684,11.253309,91750.47566,3559458528
150,71056489,7963277,138189.259,8.548105,133626.7841,1865345072
151,43501228,1654364,106780.3036,5.809511,96123.54713,1037545119
152,23428386,284424,62141.44013,3.277879,50988.97517,522975952
153,493626602,13307262,835159.8862,52.947323,817982.7074,8928871036
154,5917834658,410149084,18894851.76,608.84623,19001066.88,4.31467E+11
155,26742404,93724,54038.27668,2.090134,55499.79453,349973786.8
156,98683840,2198144,213763.8833,13.700763,195399.2353,1792279355
157,31212532,552800,52314.81064,3.984384,47771.4661,417940094.6
158,14641047,956693,55371.20872,2.08414,58590.31796,137627076.2
159,45288663,174774,103499.3525,6.414517,94833.86462,955105268.5
160,197068075,8660937,231111.0581,20.761469,217448.829,9079471685
161,20486013,1519700,58561.84415,2.908614,72144.13458,639533379
162,111650218,26518808,90367.42823,14.170836,82552.01476,4327947967
163,23813902,169490,53449.63449,3.277386,50877.85278,493705840.9
164,30484577,833678,63565.50196,4.282573,64544.27335,556569721.6
165,17615328,138593,49454.24457,2.603652,40318.4895,390882391
166,101576516,19095124,76213.65416,13.139362,76722.94805,2771303113
167,22892981,35723,62178.11999,3.766455,61662.93292,479358807.4
168,108774336,3684843,233953.6528,16.231639,237127.0684,2448220823
169,38970314,324360,73884.50123,4.949141,73040.94232,801100351.3
170,38521213,2511360,72801.24466,5.373568,83407.67401,611367719.7
171,425314998,71990473,349786.829,54.699338,346316.9197,13419381028
172,30693056,721657,68303.03973,4.053479,65015.72029,641970566.5
173,83294991,11222135,69719.46904,9.027019,64221.74311,2682799090
174,34540125,976661,76680.44293,4.007202,83604.52423,703135237
175,176691659,8096916,309478.9354,19.458195,349834.7579,3243067854
176,59752800,5708537,132333.7247,7.321791,128330.2903,1142598528
177,1068628554,69320215,2011814.501,113.653546,2062138.722,19629518481
178,303869015,26693762,723792.3348,36.286671,759227.0648,12642534318
179,33789640,220060,62273.26985,4.229148,63730.20456,400361435.1
180,139898515,4247191,267235.5743,18.920353,268186.4101,1815510536
181,83462793,4518041,139861.9176,11.685431,142196.5891,923041102.2
182,133061430,17701221,125910.115,18.048048,129000.8594,6164405761
183,64493967,11641175,123518.438,9.458999,125965.9759,5589628117
184,26435006,2615134,76307.10989,3.692121,81988.05447,1161541047
185,40452585,1721410,100817.6709,5.537792,98911.5836,616783791.2
186,52145302,779175,118262.8496,6.34457,119516.4974,1152633904
187,1625247753,302681205,1976718.016,149.636864,1967638.44,72503432859
188,154360125,17906529,278092.4444,18.745771,274892.58,4977408902
189,62290804,1904627,116280.5806,7.823235,115445.8306,1374946103
190,74819351,15495156,73533.59934,8.320031,69814.1218,3432780697
191,20835303,30129,54799.00641,2.659992,54498.65192,345507568.8
192,243176110,37792280,336852.9504,31.408343,306130.0076,12722862112
193,955726158,163014861,998510.2869,124.643884,975813.7516,39381571677
194,75056947,5759717,78489.6757,7.256344,77286.04027,2694231291
195,25237692,261200,62129.6843,2.291929,63219.58742,568502443.9
196,863245686,118538756,701328.3987,111.694546,690377.1528,28497009836
197,115154359,3736529,249267.9919,14.503415,261834.9297,2336913921
198,23204574,229722,155157.5365,3.526456,229259.9956,3085477140
199,88613923,16980205,100576.4212,9.316997,94311.34971,3661759257
200,1657781150,270581118,3878124.772,182.517544,4092764.75,1.09693E+11
201,41534162,20452,75071.40518,5.06667,70715.63751,961832132.9
202,330316484,5478750,503283.5205,31.880496,517219.9193,3379218432
203,79620029,14552925,74400.23665,10.049563,70907.38094,2451415961
204,61390387,9081149,74941.28482,6.499063,72284.28342,2143501588
205,97788418,25001533,112071.66,9.482965,112236.6306,4249168930
206,306527804,41208562,348271.848,43.99666,340959.5358,13334487626
207,124239329,7387630,298176.079,14.891374,289961.6718,2659010906
208,142627512,743715,313477.2332,17.52002,322185.3598,4701160862
209,24959908,587342,66165.4696,3.686645,69477.10126,1501842654
210,12373603,356319,150403.2697,2.09987,353326.383,1865372366
211,43378275,2615667,89903.92545,3.832948,82481.04213,601827794.6
212,1999561,115,24421.26286,0.433274,47627.77032,210574421.6
213,18528329,1093775,59948.18113,3.007928,54459.0412,920735316
214,106384442,3599781,228839.0038,11.650674,215178.9152,2108081618
215,120208761,4325843,223156.3927,12.69072,218044.1327,2215694091
216,20139670,387249,55979.30944,2.337065,53638.46286,263586795
217,43612805,834843,51954.22921,2.700137,49826.54483,304564387.2
218,253544107,11861306,522471.7059,20.427327,528131.8475,5617940840
219,51000543,391906,109163.5122,5.638681,110506.0744,927561892
220,30759725,2381060,70151.97199,3.805252,62134.45047,667793555
221,230305723,13474379,609995.0509,28.743781,594366.432,8213442573
222,48022224,4748450,152145.5281,7.411673,165602.7557,3003506781
223,23801869,381168,50926.36021,3.331057,50312.28226,363150639.6
224,40404155,3266500,82509.49187,4.382859,80513.64966,556688222.8
225,309709422,19330648,682865.0702,36.301497,700228.3241,7222346139
226,11992285,66233,42409.96454,1.859759,44541.29733,175716520.1
227,27226566,5635,48277.2505,2.993159,48776.28528,126564932.5
228,66372229,704368,77345.49223,5.288503,75809.42273,593624709.3
229,125378581,22762023,84688.79438,15.793068,84997.73179,4435890954
230,67134451,2668788,127943.3472,8.980691,133087.4946,2979223243
231,89789315,4725360,162851.4508,13.53655,162615.468,3233821253
232,35697872,395774,73517.47638,4.002389,73953.07141,345322046.8
233,131186784,37033273,88165.6703,16.972959,92091.46151,4034767688
234,306875962,29662275,578870.7445,43.706047,581885.3178,21664028065
235,130376424,28833386,91810.62254,16.297137,93470.80779,3794939855
236,23441861,31674,64711.82875,2.742866,67373.84982,613133592.5
237,270766262,22577011,612147.8345,36.850349,660310.5809,9816438371
238,32922068,59132,74898.87319,4.371541,73166.17912,668284088.5
239,218461706,28718749,268038.5613,31.160568,264016.6346,11943221106
240,38039909,1996751,85119.0391,5.632898,90599.50502,1170478756
241,396958540,65916322,272779.0006,44.585425,260267.9431,14281641842
242,75633666,12586544,69122.84902,10.233618,67541.16016,2660318716
243,89399151,9482180,161011.3232,10.573703,135981.968,1621544439
244,143228820,13676462,289696.205,17.37318,291202.4623,3180089382
245,179733987,11656205,453012.5268,24.789955,448539.0605,11190838104
246,108965139,12111588,149102.3819,15.364822,149301.5704,6115983466
247,270118189,62492706,204254.6307,31.591594,207932.3664,9299340525
248,77722239,12369238,57871.90043,10.888565,56578.12654,2346364160
249,286771127,8800321,569187.8495,32.033316,582121.1404,3558113350
250,1257027417,215527918,1564373.169,169.98943,1489251.207,81489433081
251,35074219,1130267,107598.8682,5.263196,99428.90524,2576046623
252,119509067,3202981,246824.9912,12.937665,242552.7756,1307298749
253,232339294,49935183,230018.9912,30.798811,219638.0303,9956638172
254,80022861,3080523,169665.1652,8.310285,165044.6586,1023659367
255,170585111,16824300,464653.5438,21.865286,462403.1278,12847898642
256,10199337,161326,63271.46525,1.49386,23241.0871,145395831.6
257,142814561,33146806,104427.8552,19.171695,100677.0096,5014888037
258,4627224,1089,20126.71977,0.690787,8520.199799,37512730.16
259,17207254,156864,85920.62635,2.29112,34017.66205,382098446.8
260,198643518,34626559,163277.6971,27.981619,162359.1493,6329379153
261,35853392,149272,87416.76857,4.667468,45739.89859,160889048.5
262,57728736,1303080,101274.8771,6.184829,101088.2748,553310378.3
263,17462197,320650,63185.09629,2.253575,19417.33844,480901216.9
264,116621056,21973978,83616.66136,16.413174,81541.55238,3258137007
265,401172398,63066544,405181.191,51.401482,399924.5891,19995065161
266,16260325,65896,37040.25804,2.0806,21012.61182,100630807.6
267,21080622,436077,95277.9569,2.900117,50970.56738,772579422
268,105458350,1209544,186269.7426,12.00636,127091.1414,761532566
269,32013799,34436,78642.67279,3.550183,43555.88452,172193087.4
270,7763734,5057,35314.84305,0.923388,7494.005798,30866381.59
271,12049818,105768,60420.02243,1.448958,26777.54913,43550811.64
272,2468641550,529427422,2272932.585,295.741518,2237726.081,1.15916E+11
273,866033016,157817455,1142616.089,113.125597,1064647.203,50408225332
274,7352401,128655,36177.78108,1.05749,15697.63702,23851330.79
275,11922533,517733,43463.85522,1.170734,17546.69708,39320128.44
276,16711607,54125,96172.14744,2.055692,29227.2583,498031269.1
277,102594850,24435785,96068.44941,10.839058,90956.78013,4319860843
278,10426378,168009,68012.62748,1.517229,37712.71906,114882996.4
279,7498896,305312,38213.58348,0.914769,19244.44739,21908033.3
280,5907320,0,78481.52239,0.731492,10573.06982,20551965.8
281,7141315,35136,43281.04233,0.888706,5627.471954,102947261
282,38474091,2662716,119070.1883,4.812339,43978.83569,887836474.6
283,33556209,1601955,143361.8204,4.219945,76125.32758,683462572.6
284,89291985,13683482,85802.67274,11.821701,75717.9058,4009220720
285,22589112,352494,57024.77941,3.024752,25397.66663,325812505.8
286,4851492,0,22115.52761,0.640089,6475.048035,18038207.14
287,4571437,0,31185.79915,0.627625,3262.457977,8063916.875
288,987582676,69001529,2608043.369,87.84462,2283144.384,39015046241
289,154441880,14885213,160914.2443,23.314081,160832.4625,6164680456
290,67566922,2121457,182059.0707,8.80254,183765.3838,15763244694
291,14197401,14959,67124.67198,1.494484,23869.44714,349110195.9
292,67855639,7311921,66458.33522,10.606473,60833.96626,3334004721
293,3725853,3014,29411.30687,0.600433,3749.860199,15093765.56
294,46303055,2537407,140487.958,5.804992,68361.36871,1920974412
295,134391481,24890692,121090.9776,17.612874,132071.3676,7001581371
296,3869252,84936,32913.54348,0.590493,4468.400772,51350205.69
297,7452880,0,55718.59998,0.82147,23646.91479,38766330810
298,4619970,20253,37833.18047,0.692197,7943.176117,14990137.53
299,92054955,13289832,111969.0255,12.968758,106964.1417,5641370439
300,9904149,0,35894.50657,1.438893,9920.689362,68433782.87
301,33039202,116318,196685.9607,3.204,55676.17468,397244671
302,4154909,34448,32685.04888,0.538662,6650.345459,40342966.94
303,9733356,88014,105770.6096,1.024249,20817.15167,159754856.3
304,2340043,4493,30186.49899,0.310757,3787.552429,28868140.25
305,21393340,93757,88945.44118,2.99226,56223.0782,317991214.4
306,17037622,51412,87944.91901,2.520294,36289.34189,96000300.94
307,11080767,62048,59574.61229,1.703263,20547.75385,72970681.35
308,36723877,621238,179108.3135,4.81415,124390.7011,614938119
309,112393005,29789885,102603.2089,14.836128,96159.79888,4686079283
310,14294378,239103,69182.41748,2.235153,38107.52594,181663746.9
311,53404128,996105,210078.9919,6.914908,118296.9854,1309434105
312,61772844,8368565,57659.4834,9.600436,59882.85793,3112586775
313,4490334,1069,34427.33833,0.867075,4006.314758,14216632
314,99310718,15554552,71738.45146,14.69809,68672.73045,2878140474
315,4351525027,1036420942,5041743.921,585.971654,4890287.632,2.37527E+11
316,51741227,3752684,179658.8131,7.515927,149512.8696,1254645532
317,1928635,0,26019.63256,0.329975,2341.4095,61448597
318,130118980,28114778,140853.2213,16.761212,145186.5126,6491681302
319,4749775,0,36617.37082,0.759301,4410.773071,15487190.5
320,3023607,0,31761.27241,0.243029,1428.08429,123549924
321,628378007,35147864,1698954.604,58.346398,1395079.866,14737419054
322,19641315,1770215,63618.79162,2.305544,24091.71313,176314889.6
323,5192237287,1417808481,5239821.965,695.232954,5205401.07,2.38492E+11
324,3555130,170513,31447.00045,0.433467,11104.48505,19507645.75
325,29961742,622739,111913.2261,4.046911,41968.11829,571679460.6
326,14565513,234928,59578.68467,1.857024,24968.11597,273271044.6
327,5607365,0,49488.56917,1.098689,2993.125702,160437263.3
328,68552229,8599050,60835.42899,9.983193,58073.0694,2163850304
329,131310581,5589993,221066.6838,12.823672,217469.9862,19984953102
330,13514841,0,48341.83058,2.002015,7895.0495,98435384.51
331,41168344,4270736,57033.38515,6.222009,54114.4552,1743662391
332,59700138,5313119,60172.83706,8.101369,59228.26083,2702601939
333,99214154,24244029,141063.4866,15.809882,141956.9121,6028731981
334,20976782,110346,66618.23903,3.149962,47028.90332,297841656.9
335,17011206,13626,56349.67465,1.755489,12180.59424,4876773.074
336,8216867,100445,57407.74663,1.611114,13025.83496,242227851.9
337,109833906,26975918,75319.10441,13.583616,71514.309,2619413062
338,57951498,1417330,175640.8005,8.274339,121410.632,1125360816
339,78263642,7883540,92151.92214,12.623958,92076.61305,4501555687
340,22451265,745702,61450.60909,2.714218,20010.50749,548088836.3
341,20318052,108316,68139.36715,2.879126,52878.75848,156324102.8
342,162869308,40673891,91772.35949,19.861447,89699.1963,4507725383
343,24971476,422178,65824.45625,2.995153,47342.44222,346435469.2
344,188055946,53500247,97617.84407,25.82632,96439.27257,3624208853
345,312996677,17920604,1014014.499,38.95688,654130.1714,5845866688
346,25010332,1342898,95248.15947,3.440855,64016.82791,284236359.6
347,84855085,18217279,84587.43335,11.983943,83606.31282,3201184708
348,62775587,10486958,53551.50845,8.076865,48735.80928,2541500486
349,760755668,176505989,639992.4351,109.043366,622126.4733,26897631614
350,461252163,13594960,847527.606,59.789644,877283.9427,9970139856
351,28482368,605778,94537.54942,3.49018,44072.72565,266377611
352,24362502,2854976,65497.00086,3.161843,50854.75642,420836826.5
353,36042788,582266,136612.1386,5.356687,65807.75479,534219907.8
354,8201775,42833,50248.13182,1.258103,10874.00751,102616682.6
355,20278228,575061,112371.3392,3.293046,38417.40857,335384818.2
356,92000917,13671193,84370.48515,13.742455,83702.29842,3686028601
357,32954178,271809,119173.4311,4.867016,32152.26514,384298709.1
358,24945523,1670455,70108.51822,3.557525,16925.1967,396574137.7
359,456514459,16688511,1192368.724,32.348014,500333.5563,8399315271
360,38203168,979498,164165.5615,5.897094,63853.30481,498677290.1
361,42887004,3964200,98708.40868,6.152331,93043.80993,4928663734
362,774704303,179596254,1042128.849,92.214838,997516.6336,58254559544
363,58726316,1695805,165042.0541,8.553995,158175.0388,2480375419
364,99519190,23720887,66682.70375,13.522773,66845.52905,2692686291
365,23414009,2377088,60645.88252,3.300137,54369.89679,1976693221
366,98545174,13701636,64451.89998,13.006183,65583.7925,2422551105
367,387422994,21036305,1225604.524,51.287658,930027.1555,8308076397
368,12656273,53017,51820.39308,1.915026,21057.83496,239705569.5
369,21433533,316144,69203.63263,2.417203,37286.58215,178825036.4
370,37134645,696457,106012.8309,4.443157,34723.98169,293879082.8
371,27693425,480772,151797.94,4.124398,47357.91522,745584404.2
372,17914394,2585142,70034.98157,2.695703,17722.00958,167251966.6
373,48830989,1197124,199019.7827,7.158743,157375.307,756025992.7
374,24986988,604783,97486.32931,3.391996,26500.755,371875184.8
375,21537090,691364,49133.987,3.075772,49124.38519,449925417.4
376,11760619,261265,84853.79199,1.568945,17265.90137,114575329.5
377,26748297,313336,138633.5343,2.790663,42912.37,162519024.8
378,15468677,71815,54069.90639,1.969527,38415.84863,297385625.3
379,248971218,53440891,177108.5935,31.49629,171773.5741,8249846561
380,2557849,0,35306.05648,0.341446,5682.125244,53188840.2
381,2393229,0,29706.79026,0.424468,2867.358826,17669437.63
382,57582287,5252112,61062.79369,8.867648,59902.40269,2949855678
383,372438773,82627625,280502.5213,47.768131,272841.9566,13464281182
384,18831901,37345,50158.42268,2.02616,13535.4267,115385845.8
385,626422882,130155813,471184.9305,78.31545,446840.1008,20244790456
386,149018785,31155610,109990.8046,18.681787,95615.43085,4609634338
387,20439413,2196634,62832.758,2.979415,48919.54626,460129284.8
388,1250548,0,20661.76066,0.230931,1530.792969,189285.5
389,83334565,16161620,92180.11479,11.247925,87235.45159,4313085925
390,43111592,3008715,173180.671,5.947902,182303.2734,2143710976
391,17379334,190447,84683.78061,2.888212,81452.17451,878333453.6
392,854628710,73055038,1947803.727,99.003837,1691031.395,24838302301
393,2568971,26238,27649.00323,0.473746,4451.172302,71501519
394,176841947,20551054,629205.7969,23.052668,683896.652,11281805706
395,124610315,25830490,75303.52637,15.693567,75341.85387,2586058275
396,79954582,18207257,54102.21509,11.208097,52774.6559,2241029197
397,416021287,120084340,292753.8017,47.009328,282559.5384,13748601140
398,86461568,4401354,229434.5342,11.481669,168021.7829,2551705673
399,8710229,158980,42042.10709,1.290833,4246.641903,45015048.91
400,860818720,156151065,799369.1935,109.579007,679066.9693,34363803393
401,70372136,22622389,62734.40264,9.763193,64396.98917,2382312360
402,69387574,17467890,55301.11642,9.755543,60747.65197,2310014084
403,847794155,244953174,985998.9634,104.021218,941075.5127,49528442665
404,55997137,1754213,110492.4835,8.277722,93112.18376,499604599.3
405,119559586,25647619,95119.52915,14.160873,92418.60308,3852039059
406,12409989,232922,77788.53627,2.094151,4909.709856,77098767.25
407,257028802,64080600,144988.5135,26.353617,149346.5576,6252669437
408,77596526,17125183,75204.41465,9.155012,79512.37608,3638272650
409,277976707,77920242,238636.4582,32.385157,237238.293,10595068752
410,110258631,18782163,67768.38125,15.605887,69912.80143,2654657077
411,1477899376,326761311,1146177.2,173.06099,1135456.012,53976640654
412,16413698,1483675,63957.96793,2.08808,36699.07977,355034213.7
413,200158585,51032150,142248.1921,24.862579,140185.3323,6487847747
414,111431135,1789033,203877.486,12.424673,151561.3182,1769120258
415,20846550,1225082,64108.06997,2.546971,38895.5459,2773038487
416,132256636,7379811,254370.404,13.743116,172419.465,1686946493
417,758787022,154653617,578777.4955,80.180027,566189.7317,27379227802
418,38282671,203716,182211.5783,4.993128,148263.0002,873502191.1
419,6954961,261791,57169.694,1.113656,48318.62207,579353228.1
420,83948935,2536484,185570.9784,8.173194,121660.1636,1482928863
421,111734515,3822103,374945.4063,13.940819,303059.6768,2961241718
422,31183681,34621,91776.88609,3.503408,73845.34152,694422802.9
423,160434135,42177215,120852.1638,21.170225,122469.0072,5229041362
424,38579908,288389,86164.07589,5.306587,55767.73044,399384165.3
425,5794436,195695,21986.33619,0.843184,16815.75089,42723775.38
426,15689588,174659,60695.32089,2.241174,23379.75305,258741457.3
427,914437788,49649598,2753902.634,82.106034,2000107.908,30496414168
428,8063285,11167,32884.36559,1.21143,22643.76236,2085225.969
429,11170473,117416,72313.27776,1.378667,26110.64301,445334460.6
430,78560795,233075,233218.0199,9.589367,129038.6689,1921875293
431,7467593,10768,35478.0334,0.848075,9275.24231,0
432,92150944,16646556,80966.04916,11.707191,78990.42941,3548220460
433,32700503,5989658,172280.1371,5.188626,89416.74048,2834210098
434,7715015,136241,46737.65522,1.160423,10350.93494,169970321
435,15984469,63900,46633.85818,2.313093,31123.85449,247841384.6
436,267149673,38852769,203087.2998,38.789169,199520.1308,9927186606
437,26091712,1491173,98738.62543,2.311117,36290.03149,376020090.6
